trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
34,100,6,6,10,5,sqrt,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8131882202304738,0.02658020121439758,0.7321388577827548,0.8778029511415092,0.8216389244558258,0.7450375774419548,0.8790777946655689,138
43,100,6,6,2,5,log2,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8131882202304738,0.02658020121439758,0.7321388577827548,0.8778029511415092,0.8216389244558258,0.7450375774419548,0.8790777946655689,139
46,100,6,6,10,5,log2,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8131882202304738,0.02658020121439758,0.7321388577827548,0.8778029511415092,0.8216389244558258,0.7450375774419548,0.8790777946655689,140
125,300,6,6,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8118388653599921,0.031010432005188836,0.7521324810289721,0.8774104947067329,0.8216487737614498,0.7690274458407216,0.8833895380133624,141
137,300,6,6,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8118388653599921,0.031010432005188836,0.7521324810289721,0.8774104947067329,0.8216487737614498,0.7690274458407216,0.8833895380133624,142
152,300,8,8,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8118191667487441,0.02814757507679089,0.7573764352871701,0.8818926991967745,0.8287107258938246,0.7730770342535049,0.8833895380133624,143
155,300,8,8,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8118191667487441,0.02814757507679089,0.7573764352871701,0.8818926991967745,0.8287107258938246,0.7730770342535049,0.8833895380133624,144
164,300,8,8,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8118191667487441,0.02814757507679089,0.7573764352871701,0.8818926991967745,0.8287107258938246,0.7730770342535049,0.8833895380133624,145
167,300,8,8,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8118191667487441,0.02814757507679089,0.7573764352871701,0.8818926991967745,0.8287107258938246,0.7730770342535049,0.8833895380133624,146
49,100,8,8,2,1,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8118093174431202,0.01785227331699071,0.7383363757092276,0.8742760678889205,0.8216389244558258,0.7450375774419548,0.8790777946655689,147
61,100,8,8,2,1,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8118093174431202,0.01785227331699071,0.7383363757092276,0.8742760678889205,0.8216389244558258,0.7450375774419548,0.8808777693338822,148
56,300,8,8,2,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8117994681374963,0.022764185117501626,0.7305226172226683,0.8804243849149807,0.8216389244558258,0.7450375774419548,0.8804243849149807,149
59,300,8,8,10,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8117994681374963,0.022764185117501626,0.7305226172226683,0.8804243849149807,0.8216389244558258,0.7450375774419548,0.8808777693338822,150
68,300,8,8,2,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8117994681374963,0.022764185117501626,0.7305226172226683,0.8804243849149807,0.8216389244558258,0.7450375774419548,0.8808777693338822,151
