trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
18,4,4,20,10,gini,None,4,13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8495646380207509,0.8132276174529697,0.7270785097446646,0.8529839539596594,11
61,4,4,2,10,entropy,None,4,13,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8448273619159199,0.8160149709445484,0.7423774299563745,0.8529839539596594,12
62,4,4,10,10,entropy,None,4,13,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8448273619159199,0.8160149709445484,0.7423774299563745,0.8529839539596594,13
63,4,4,20,10,entropy,None,4,13,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8448273619159199,0.8160149709445484,0.7423774299563745,0.8529839539596594,14
28,6,6,2,1,gini,None,6,33,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8132177681473458,0.017951353184673502,0.7322727164230923,0.8398186277614178,0.8132276174529697,0.7322727164230923,0.8529839539596594,15
55,4,4,2,1,entropy,None,4,15,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8118191667487441,0.015995266268455984,0.7264693418684536,0.8484159119934983,0.8160149709445484,0.7423774299563745,0.8529839539596594,16
56,4,4,10,1,entropy,None,4,14,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8118191667487441,0.015995266268455984,0.7264693418684536,0.8476426622547312,0.8160149709445484,0.7423774299563745,0.8529839539596594,17
30,6,6,20,1,gini,None,6,25,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8117994681374963,0.011170458741917336,0.7328919624832395,0.8442327533432549,0.8160149709445484,0.736297609170357,0.8529839539596594,18
12,4,4,20,1,gini,None,4,13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8117994681374963,0.005140224179462022,0.7265335023360522,0.8506996163304941,0.8117994681374963,0.7265335023360522,0.8506996163304941,19
38,None,999,10,1,gini,None,21,91,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8104205653501427,0.021090318845522812,0.7423774299563745,0.8253315416442375,0.8160149709445484,0.7423774299563745,0.8529839539596594,20
